X.1..oecf4_20220506_KO_1G4_DIA_r1.raw.PG.Quantity	X.2..oecf4_20220506_KO_1G4_DIA_r3.raw.PG.Quantity	X.3..oecf4_20220506_KO_1G4_DIA_r4.raw.PG.Quantity	X.4..oecf4_20220506_KO_1G4_DIA_r4_20220508144015.raw.PG.Quantity	X.5..oecf4_20220506_KO_3G4_DIA_r1.raw.PG.Quantity	X.6..oecf4_20220506_KO_3G4_DIA_r3.raw.PG.Quantity	X.7..oecf4_20220506_KO_3G4_DIA_r4.raw.PG.Quantity	X.8..oecf4_20220506_KO_3G4_DIA_r5.raw.PG.Quantity	X.9..oecf4_20220506_LTED_DIA_r1.raw.PG.Quantity	X.10..oecf4_20220506_LTED_DIA_r3.raw.PG.Quantity	X.11..oecf4_20220506_LTED_DIA_r3_20220508005236.raw.PG.Quantity	X.12..oecf4_20220506_LTED_DIA_r4.raw.PG.Quantity	X.13..oecf4_20220506_WT_DIA_r1.raw.PG.Quantity	X.14..oecf4_20220506_WT_DIA_r2.raw.PG.Quantity	X.15..oecf4_20220506_WT_DIA_r3.raw.PG.Quantity	C: Student's T-test Significant KO_1G4_LTED	C: Student's T-test significant	N: -Log Student's T-test p-value KO_1G4_LTED	N: Student's T-test q-value KO_1G4_LTED	N: Student's T-test Difference KO_1G4_LTED	N: Student's T-test Test statistic KO_1G4_LTED	T: PG.ProteinGroups	T: PG.Genes	T: PG.ProteinDescriptions
15.6315	15.7251	15.7832	15.6884	15.3385	15.4607	15.3686	15.4255	15.6588	15.8858	15.8672	15.8243	15.4229	15.3988	15.415			0.841277	0.101381	-0.10196	-1.67919	A0A024RAC6	ELOA	Elongin-A
15.8218	14.5653	14.8945	14.5658	16.7189	15.9497	16.7137	16.2249	14.387	13.5611	14.2969	13.6878	13.6308	13.746	13.9219	+	KO_1G4_LTED	1.44459	0.0237465	0.978647	2.69264	A0A024RBG1	NUDT4B	Diphosphoinositol polyphosphate phosphohydrolase NUDT4B
NaN	NaN	15.526	15.6936	15.5443	15.7893	15.3294	15.442	15.574	15.1872	15.9571	15.7113	15.5251	15.3881	14.6032			NaN	1	0	NaN	A0A024RCG2;A0A0J9YWM3;E9PRM7;Q96BI1	SLC22A18	Solute carrier family 22 (Organic cation transporter)
NaN	14.0147	14.6543	14.1017	14.2949	13.5371	13.5339	13.7663	13.3066	13.449	14.1804	13.6688	13.6662	14.5056	14.6466			1.07411	0.0571163	0.605698	2.14938	A0A024RCQ8;A0A0G2JH76;A0A0G2JHB6;A0A0G2JIU6;A0A0G2JK02;A0A0G2JKR3;A0A0G2JLA3;A0A0G2JLL3;A0A140T8X7;A0A140T9Y1;G8JLL2;Q9UMR5	PPT2;PPT2;PPT2;PPT2;PPT2;PPT2;;;PPT2;PPT2;PPT2;PPT2	HCG1999928
18.0455	18.0558	18.1036	17.9873	17.7033	17.822	17.8982	17.8356	18.1882	17.7456	17.6821	17.6123	17.6822	18.0156	17.9076			0.928283	0.0823384	0.241003	1.82406	A0A024RCR6;A0A0G2JK23;P46379	BAG6	BAG6;Large proline-rich protein BAG6;Large proline-rich protein BAG6
14.0693	14.2774	14.1432	14.9381	14.1126	14.1665	14.524	14.3248	14.2565	13.036	12.9248	13.1671	13.187	13.4638	13.0774	+	KO_1G4_LTED	1.48476	0.0216409	1.0109	2.76235	A0A044PY82;Q96FF7	MISP3	Uncharacterized protein MISP3
13.9727	13.865	13.814	13.6019	14.2178	14.4877	14.2718	14.1993	14.7745	14.5755	14.4909	14.391	13.3472	13.7313	13.6442	+	KO_1G4_LTED	3.23853	0.000705347	-0.744587	-6.60913	A0A067XG54;Q8NB49	ATP11C	Phospholipid-transporting ATPase;Phospholipid-transporting ATPase IG
12.5012	11.7178	12.4149	11.9779	11.8782	11.9353	11.7517	12.1306	11.8315	10.2344	10.0393	10.6987	11.2124	12.0412	11.7402	+	KO_1G4_LTED	1.77711	0.0111746	1.45196	3.28553	A0A075B6E4;A0A0A6YYI5;E7EQU6;E7EWF5;G5E9M7;G5E9M9;Q14135	VGLL4	Transcription cofactor vestigial-like protein 4;Transcription cofactor vestigial-like protein 4;Transcription cofactor vestigial-like protein 4 (Fragment);Transcription cofactor vestigial-like protein 4 (Fragment);Transcription cofactor vestigial-like protein 4;Transcription cofactor vestigial-like protein 4;Transcription cofactor vestigial-like protein 4
18.6861	19.2278	18.6073	16.7415	18.9087	18.7845	18.8109	19.2565	18.8225	18.4396	18.5674	17.9078	21.5087	21.4886	21.5139			0.0738986	0.815248	-0.118658	-0.206095	A0A075B6G3;A0A087WTU7;A0A087WV90;A0A5H1ZRP8;P11532	DMD	Dystrophin
NaN	NaN	14.0087	13.8531	13.9325	14.0113	13.9327	13.9159	13.9513	13.8778	13.9135	13.8676	13.762	13.7667	13.6607			NaN	1	0	NaN	A0A075B6P0;Q330K2	NDUFAF6	NADH dehydrogenase (ubiquinone) complex I
12.4431	12.4383	12.6336	11.4733	12.7918	12.614	12.5201	12.7953	12.938	12.6027	12.5984	12.6558	13.2217	13.1477	13.1554			0.822455	0.106092	-0.451627	-1.64774	A0A075B6T1;Q9C0C7	AMBRA1	Activating molecule in BECN1-regulated autophagy protein 1
13.9598	13.8482	13.6484	9.43669	13.109	12.6383	11.9867	13.0822	12.6492	12.7879	12.7361	12.6086	12.5602	12.6891	12.6304			0.00849969	0.977713	0.0278082	0.0253224	A0A075B6T4;Q9NVX7	KBTBD4	Kelch repeat and BTB domain-containing protein 4
NaN	NaN	NaN	17.5775	17.7178	17.6543	17.919	16.9206	17.0249	17.0267	16.8072	17.4643	17.9755	17.866	17.7343			NaN	1	0	NaN	A0A087WSW9;A0A087WSY9;Q16881	TXNRD1	Thioredoxin reductase 1
16.7937	17.1055	16.9156	17.1093	16.4153	16.2409	15.967	16.0689	15.3855	15.3354	16.1732	15.9884	16.9382	17.5103	17.3988	+	KO_1G4_LTED	2.85855	0.00162775	1.26038	5.59675	A0A087WT12;A0A087X2I2;P36969	GPX4	Glutathione peroxidase;Glutathione peroxidase;Phospholipid hydroperoxide glutathione peroxidase
14.977	15.13	15.3181	15.1855	14.6899	14.7455	14.5221	14.6751	14.7001	14.9241	14.9749	14.8847	14.6012	14.6529	14.8928	+	KO_1G4_LTED	1.64367	0.0149621	0.281687	3.04298	A0A087WT18;Q96A73	KIAA1191	Putative monooxygenase p33MONOX
14.9257	15.5245	14.8243	14.7766	14.8413	15.2182	14.4713	14.7267	15.3297	15.456	15.0228	14.9904	16.2011	15.2301	16.0157			0.3946	0.337878	-0.186933	-0.899404	A0A087WT20;Q9NV06	DCAF13	DDB1- and CUL4-associated factor 13
11.1335	10.2005	10.3498	NaN	10.8641	10.6602	NaN	10.3724	11.2331	10.4003	10.7945	10.2358	11.7849	11.2866	11.4382			0.107026	0.743737	-0.104632	-0.2926	A0A087WT23;A0A087WV67;O00124	UBXN8	UBX domain-containing protein 8
NaN	NaN	NaN	NaN	13.0386	13.1605	13.1539	13.7351	13.0386	13.1872	13.4462	12.8947	12.8132	12.6113	12.7756			NaN	1	0	NaN	A0A087WT42;Q5VVW5;Q9NY64	SLC2A8	Solute carrier family 2
NaN	NaN	NaN	NaN	14.7922	14.4823	14.1235	13.1649	14.7251	14.8583	13.313	14.8227	14.1005	13.4866	14.1602			NaN	1	0	NaN	A0A087WT80;A0A087WW73;A0A1B0GWB6;Q9NQ66	PLCB1	1-phosphatidylinositol 4
13.2724	13.3144	13.3906	11.8806	12.9037	12.3362	11.6689	12.8417	13.1451	13.1078	13.2313	12.9059	13.1238	13.2102	13.0563			0.13633	0.68527	-0.133016	-0.36084	A0A087WTA5	EIF2B4	Translation initiation factor eIF-2B subunit delta
13.3848	13.4377	13.5277	13.1778	13.3359	12.951	12.8158	13.4301	13.6348	13.9116	13.984	13.8873	13.6305	13.6014	13.7106	+	KO_1G4_LTED	2.36216	0.00386014	-0.472428	-4.44691	A0A087WTC6;D6R9E3;D6RCT6;Q9BWT6	MND1	Meiotic nuclear division protein 1 homolog;Meiotic nuclear division protein 1 homolog;Meiotic nuclear division protein 1 homolog (Fragment);Meiotic nuclear division protein 1 homolog
13.0893	12.8389	12.6558	13.1614	14.3561	14.3908	14.7954	14.4006	14.0033	13.9249	13.9333	13.9857	12.7891	12.9196	12.0701	+	KO_1G4_LTED	3.89487	0.000226263	-1.02546	-8.70003	A0A087WTK0;A0A087WVC6;Q12913	PTPRJ	Receptor-type tyrosine-protein phosphatase eta
20.3268	20.58	20.5615	20.1619	19.7924	20.1673	20.0623	20.0471	19.9643	19.8368	19.6411	19.86	19.531	19.8413	19.9575	+	KO_1G4_LTED	2.53198	0.00300131	0.582006	4.82075	A0A087WTM1;A0A087WZ85;A0A0A0MSX4;Q9Y6N7	ROBO1	Roundabout homolog 1
15.618	15.9596	15.7179	15.8386	15.0755	15.3133	14.6929	15.0602	15.2222	14.8611	14.9515	15.2017	14.7321	14.6208	13.6625	+	KO_1G4_LTED	3.09322	0.00087361	0.724397	6.20681	A0A087WTQ6;F8W6X9;Q7Z5N4	SDK1	Protein sidekick-1
14.3795	14.4538	14.5176	14.688	14.6959	14.9153	14.7498	14.8113	15.1082	15.1807	15.1425	15.1282	14.0901	14.3935	14.5799	+	KO_1G4_LTED	4.06562	0.000269231	-0.63018	-9.32842	A0A087WTT2;Q5JWB9;Q96A57	TMEM230	Transmembrane protein 230;Transmembrane protein 230 (Fragment);Transmembrane protein 230
14.6104	14.7405	14.76	14.3208	14.8499	15.1883	15.0761	14.9458	14.816	14.7139	14.8755	14.8081	14.7493	15.0972	14.7521			0.933226	0.0811527	-0.195425	-1.83227	A0A087WTT9;A0A087WX43;A0A096LNJ4;A0A1B0GVW6;D6RE84;Q9NP73	ALG13	Putative bifunctional UDP-N-acetylglucosamine transferase and deubiquitinase ALG13
13.4267	13.1394	13.1307	12.2301	12.4847	12.7406	12.7857	12.5748	13.8705	13.9477	13.7668	13.7441	12.6098	12.5498	12.8243	+	KO_1G4_LTED	1.74194	0.0119027	-0.85053	-3.22094	A0A087WTU5;A0A087X0N3;Q96MY1	NOL4L	Nucleolar protein 4-like
18.2803	18.3636	18.6102	18.4726	18.4849	18.4569	18.271	18.5382	18.5065	18.4953	18.4946	18.6082	18.0215	18.0463	18.1184			0.580552	0.203449	-0.0944815	-1.23588	A0A087WTU9;A0A087WV20;Q8TCU4	ALMS1	Alstrom syndrome protein 1
16.0249	16.0989	15.9798	15.5135	16.6623	16.5989	15.9145	16.7451	17.058	16.8544	16.7845	16.7447	16.4403	16.6161	16.5787	+	KO_1G4_LTED	3.1588	0.000922092	-0.956141	-6.38594	A0A087WTW0;A0A087WVR3;Q96T88	UHRF1	E3 ubiquitin-protein ligase UHRF1
12.7613	12.6028	12.3595	NaN	12.9099	NaN	12.1303	12.4437	NaN	NaN	11.2025	NaN	NaN	NaN	NaN			NaN	1	0	NaN	A0A087WTW9;A0A0A0MRA9;B7Z2N1;B7Z7N5;P49758	RGS6	Regulator of G-protein-signaling 6;Regulator of G-protein-signaling 6;Regulator of G-protein-signaling 6;Regulator of G-protein-signaling 6;Regulator of G-protein signaling 6
14.7983	14.799	14.833	14.7467	14.5376	14.4152	14.5581	14.6952	14.2396	14.1819	14.3334	14.306	15.1937	15.2323	15.5659	+	KO_1G4_LTED	5.03995	0	0.528991	13.7706	A0A087WTZ8	NSMCE2	E3 SUMO-protein ligase NSE2
14.7918	14.777	14.6211	14.8947	14.8727	14.8946	14.8077	14.7428	15.186	15.0132	14.9179	14.9439	15.7147	15.7754	15.6635	+	KO_1G4_LTED	1.59357	0.0165247	-0.244096	-2.9536	A0A087WU02;Q96RQ1	ERGIC2	Endoplasmic reticulum-Golgi intermediate compartment protein 2
15.9928	16.4854	16.275	16.3283	16.4071	16.5211	16.4051	16.2531	16.066	16.4642	15.7212	15.8283	17.0174	15.58	16.6193			0.611836	0.187101	0.250471	1.29031	A0A087WU03	HNRNPDL	Heterogeneous nuclear ribonucleoprotein D-like
15.5919	15.6175	15.468	14.9852	15.2102	15.2013	15.0871	15.3621	15.0568	15.0899	15.1683	15.1392	14.4047	14.636	14.4359			1.04893	0.0612203	0.302119	2.02447	A0A087WU07;Q5TGZ0;R4GNA1	MICOS10;MICOS10;MICOS10-NBL1	MICOS complex subunit MIC10;MICOS complex subunit MIC10;MICOS complex subunit MIC10 (Fragment)
17.0268	16.9343	16.9248	16.9991	16.9303	16.9284	16.9933	16.949	16.9139	16.7431	16.7678	16.7512	16.3313	16.3869	16.5198	+	KO_1G4_LTED	2.01939	0.00742641	0.177238	3.74522	A0A087WU53;Q9H0U3	MAGT1	Magnesium transporter protein 1
11.7432	11.9976	11.4256	11.9218	12.0841	12.6689	12.2095	12.5764	11.4815	10.5032	11.0733	11.1496	11.8247	11.868	12.6406	+	KO_1G4_LTED	1.62164	0.0155031	0.72012	3.00357	A0A087WU78;A0A087WWC4;Q6T4R5	NHS	Nance-Horan syndrome protein
18.0388	18.015	18.0312	17.965	17.9729	18.0603	17.9496	18.0386	18.1123	18.0801	18.0677	18.144	18.5005	18.5505	18.5478	+	KO_1G4_LTED	2.00075	0.007597	-0.0884852	-3.70888	A0A087WUB9;Q8WYA6	CTNNBL1	Beta-catenin-like protein 1
18.7706	18.6265	18.6718	18.332	18.9821	19.0464	18.912	18.9322	18.6139	18.5207	18.6586	18.5118	18.9573	19.0912	18.8989			0.086202	0.787887	0.0239949	0.237771	A0A087WUC6;Q15005	SPCS2	Signal peptidase complex subunit 2
13.7708	13.4515	13.5805	13.5879	13.5317	13.3591	13.3024	13.3751	12.868	13.2722	13.1889	13.2883	13.16	13.1068	13.0898	+	KO_1G4_LTED	2.0274	0.00731396	0.443326	3.7609	A0A087WUE4;A0A0G2JNN3;C9JMY0;Q96PV6	LENG8	Leukocyte receptor cluster member 8;Leukocyte receptor cluster member 8 (Fragment);Leukocyte receptor cluster member 8;Leukocyte receptor cluster member 8
13.6795	13.3931	13.5755	13.6544	13.3099	13.5843	13.3776	13.5782	13.5725	12.9953	12.6174	12.91	12.6057	12.681	12.8659	+	KO_1G4_LTED	1.40534	0.025558	0.551826	2.62495	A0A087WUE6;Q3T8J9;Q9H869	GON4L;GON4L;YY1AP1	GON-4-like protein;GON-4-like protein;YY1-associated protein 1
18.0375	18.341	18.0428	17.8652	18.1528	18.2495	17.9143	18.2231	18.1599	18.1464	17.7759	17.8502	18.551	17.6235	18.2592			0.258945	0.490575	0.0885215	0.631698	A0A087WUK2;O14979	HNRNPDL	Heterogeneous nuclear ribonucleoprotein D-like
13.633	13.7148	13.3828	13.1247	13.5034	13.4215	13.3759	13.5015	13.5827	13.8728	13.5409	13.8266	14.3518	14.3179	14.4953			0.755398	0.126636	-0.241932	-1.53523	A0A087WUL4;A0A087WX23;A0A087WXK2;Q86TG7	PEG10	Retrotransposon-derived protein PEG10
18.0852	17.9369	18.1035	17.9341	17.8392	17.7803	17.8278	17.8564	18.0203	18.0719	18.0689	18.1051	18.243	18.3008	18.2408			0.47536	0.270938	-0.0516105	-1.04875	A0A087WUT6;O60841	EIF5B	Eukaryotic translation initiation factor 5B
13.3318	13.3491	13.0212	13.013	12.9174	13.0825	12.7843	12.9296	13.1766	12.4652	12.7093	12.8777	13.1086	13.7845	13.4427			1.09953	0.0537184	0.371599	2.10867	A0A087WUV9;Q9NV66	TYW1	S-adenosyl-L-methionine-dependent tRNA 4-demethylwyosine synthase TYW1
13.6154	13.5088	13.4668	13.2365	13.5467	13.5966	13.816	13.3721	13.555	12.7622	13.1476	13.163	13.5215	13.8954	13.5612			0.83079	0.104196	0.299911	1.66167	A0A087WUW9;Q9NXU5	ARL15	ADP-ribosylation factor-like protein 15
16.0549	15.6431	16.1673	15.533	15.8924	15.7569	15.6219	15.6959	15.4733	15.8957	15.7855	15.8814	16.3019	16.35	16.2818			0.19517	0.582936	0.0906458	0.495284	A0A087WV05;Q99417	;MYCBP	Uncharacterized protein;c-Myc-binding protein
13.2751	13.3701	13.8078	12.5884	13.0049	12.1662	12.5883	12.0717	13.3524	13.1884	13.3638	13.0934	14.036	14.2849	13.8555			0.0140673	0.963983	0.0108569	0.0416517	A0A087WV25;O95684	FGFR1OP	FGFR1 oncogene partner
16.2872	16.4036	16.3089	16.2069	16.0873	15.9511	15.9718	16.1339	15.6974	15.7333	16.252	16.0736	15.7211	15.9563	15.7444	+	KO_1G4_LTED	1.38106	0.0271635	0.362585	2.58329	A0A087WVA1;P62341	SELENOT	Selenoprotein T;Thioredoxin reductase-like selenoprotein T
15.5191	15.4665	15.5653	15.2129	15.3066	15.4787	15.2606	15.4524	15.6199	15.4886	15.3989	15.4507	16.0188	16.1498	16.0337			0.210978	0.558686	-0.0485969	-0.529899	A0A087WVA8;Q8IWB9	TEX2	Testis-expressed protein 2
14.053	13.7074	13.9263	13.6978	13.6036	13.3785	13.3594	13.4668	13.0314	13.036	13.0549	13.0503	13.8021	13.6777	13.7284	+	KO_1G4_LTED	4.03919	0.000262295	0.802948	9.22859	A0A087WVD1	LENG9	Leukocyte receptor cluster member 9
11.6969	11.4003	11.3748	11.2782	12.4251	12.3081	11.7182	12.4159	13.0044	12.5433	12.251	12.3952	10.6463	10.3426	9.52899	+	KO_1G4_LTED	2.99788	0.00107996	-1.11092	-5.95327	A0A087WVE9;Q9HBZ2	ARNT2	Aryl hydrocarbon receptor nuclear translocator 2
14.6609	14.6174	14.6449	14.5857	14.5624	14.6746	14.7363	14.5615	14.8293	14.78	14.6197	14.6479	14.9222	14.7485	14.7027			0.869603	0.0946987	-0.0919843	-1.72643	A0A087WVF7;Q9NZM3	ITSN2	Intersectin-2
11.9385	11.8404	11.8061	11.9204	11.9922	12.0404	11.5025	12.1206	12.1669	12.5124	12.2931	12.5867	11.7004	11.3411	11.3992	+	KO_1G4_LTED	2.62457	0.00244881	-0.513434	-5.03281	A0A087WVG4;A0A140TA01;A2AB22;A2AB23;E9PQT8;E9PQZ5;O43189	PHF1	PHD finger protein 1;PHD finger protein 1;PHD finger protein 1 (Fragment);PHD finger protein 1 (Fragment);PHD finger protein 1;PHD finger protein 1;PHD finger protein 1
13.5463	13.499	13.2618	13.4103	13.8959	13.8602	14.3292	13.7386	13.8447	13.2549	12.0861	13.1533	13.9663	13.5922	13.6127			0.409684	0.32357	0.344599	0.92776	A0A087WVI1;Q96JY6	PDLIM2	PDZ and LIM domain protein 2
14.3349	14.2777	14.1747	14.433	14.2272	15.1438	14.5732	14.4399	14.6751	13.7948	13.4351	13.7897	NaN	NaN	12.035			0.683997	0.152773	0.381415	1.41427	A0A087WVI4;A0A0G2JMM6;A0A0G2JMP8	TMC4	Transmembrane channel-like protein
NaN	18.1478	18.1759	18.1933	18.1142	17.8046	17.834	17.8578	17.8849	17.5858	17.6743	17.5917	17.6591	17.2433	17.3925	+	KO_1G4_LTED	2.68477	0.00232353	0.488173	5.85034	A0A087WVM4;B7ZM99	MTHFD1L	Monofunctional C1-tetrahydrofolate synthase
21.6374	21.6752	21.6148	21.5427	21.5753	21.5743	21.665	21.5851	21.7335	21.5917	21.5907	21.582	21.941	22.0509	21.9334			0.0536392	0.863022	-0.00699139	-0.152471	A0A087WVQ6;Q00610	CLTC	Clathrin heavy chain;Clathrin heavy chain 1
12.853	13.0197	13.2761	11.9577	12.9189	13.0995	12.5104	13.2662	13.3165	13.3174	13.5413	13.3821	13.262	13.2787	13.5371			1.09608	0.0540415	-0.612712	-2.10293	A0A087WVT1;Q96MX3	ZNF48	Zinc finger protein 48
13.1325	12.8596	13.0895	12.0704	11.5651	12.0269	12.0558	12.6117	9.44596	10.1013	11.4136	11.6569	13.3803	14.3858	13.835	+	KO_1G4_LTED	1.97564	0.00783781	2.13353	3.6602	A0A087WVW6;Q9UHV5	RAPGEFL1	Rap guanine nucleotide exchange factor-like 1
14.4024	14.2625	14.3894	13.5758	14.3253	14.4229	14.5283	14.421	13.8484	14.0129	13.5176	13.6632	13.8895	13.7368	13.654			0.896314	0.0890427	0.396999	1.7709	A0A087WVZ6	ZMYND8	Protein kinase C-binding protein 1
NaN	NaN	NaN	NaN	16.6758	17.1079	16.6459	16.4873	16.4894	17.0087	16.3385	16.5883	16.9417	17.2036	16.8681			NaN	1	0	NaN	A0A087WVZ9;P19388	POLR2E	DNA-directed RNA polymerases I
15.6247	15.5929	15.5911	15.8072	16.2207	16.1283	16.3734	16.0238	15.9452	15.863	15.8668	15.8966	16.1567	16.1516	16.2719	+	KO_1G4_LTED	2.31222	0.00429312	-0.238898	-4.34047	A0A087WW00;C9J9H9;P51668;Q9Y2X8	UBE2D1;UBE2D4;UBE2D1;UBE2D4	Ubiquitin-conjugating enzyme E2 D1;Ubiquitin-conjugating enzyme E2 D4;Ubiquitin-conjugating enzyme E2 D1;Ubiquitin-conjugating enzyme E2 D4
15.2804	15.1312	15.2748	15.1429	15.1986	15.3485	15.3222	15.2399	15.0623	14.5887	14.7622	14.9487	14.3581	14.7027	14.5434	+	KO_1G4_LTED	1.77308	0.0112772	0.366834	3.27811	A0A087WW40;Q9Y371	SH3GLB1	Endophilin-B1
16.0475	16.6063	16.0787	17.0591	15.5035	16.3895	15.184	16.4922	16.296	15.2551	16.4546	16.1045	15.1278	14.881	16.0657			0.542367	0.225926	0.420378	1.16875	A0A087WW43;E7ET33;Q06033	ITIH3	Inter-alpha-trypsin inhibitor heavy chain H3
17.2382	17.4183	17.4266	17.5738	16.8916	17.2036	17.0171	16.6788	17.1682	16.9959	12.4235	16.6452	16.9602	16.8453	16.8246			0.684036	0.152782	1.60604	1.41434	A0A087WW58;Q9C0D9	SELENOI	Ethanolaminephosphotransferase 1
14.5948	14.652	14.7645	14.6165	14.5252	14.4059	14.6541	NaN	14.5767	14.5259	14.6832	14.7873	14.6677	14.7557	14.6277			0.070672	0.822049	0.0136979	0.197681	A0A087WW66	PSMD1	26S proteasome non-ATPase regulatory subunit 1
12.9403	13.067	13.0591	13.2212	12.8764	12.3382	12.754	12.6151	13.3481	13.4952	12.9009	12.929	12.4526	11.9931	12.6444			0.244743	0.509457	-0.0964005	-0.602031	A0A087WWA0;C9J7M2;C9JB67;C9JYP7;F8WDH6;Q13568	IRF5	Interferon regulatory factor 5;Interferon regulatory factor 5 (Fragment);Interferon regulatory factor 5 (Fragment);Interferon regulatory factor 5 (Fragment);Interferon regulatory factor 5;Interferon regulatory factor 5
15.9124	16.1899	16.117	16.0098	15.4774	15.7729	15.5988	15.8553	15.6836	15.8188	15.8503	15.8886	15.744	15.9132	15.8007	+	KO_1G4_LTED	1.77143	0.0112678	0.24697	3.27506	A0A087WWA3;O60333;Q4R9M9	KIF1B	Kinesin-like protein KIF1B;Kinesin-like protein KIF1B;Kinesin family member 1Bbeta isoform II
