X.1..oecf4_20220506_KO_1G4_DIA_r1.raw.PG.Quantity	X.2..oecf4_20220506_KO_1G4_DIA_r3.raw.PG.Quantity	X.3..oecf4_20220506_KO_1G4_DIA_r4.raw.PG.Quantity	X.4..oecf4_20220506_KO_1G4_DIA_r4_20220508144015.raw.PG.Quantity	X.5..oecf4_20220506_KO_3G4_DIA_r1.raw.PG.Quantity	X.6..oecf4_20220506_KO_3G4_DIA_r3.raw.PG.Quantity	X.7..oecf4_20220506_KO_3G4_DIA_r4.raw.PG.Quantity	X.8..oecf4_20220506_KO_3G4_DIA_r5.raw.PG.Quantity	X.9..oecf4_20220506_LTED_DIA_r1.raw.PG.Quantity	X.10..oecf4_20220506_LTED_DIA_r3.raw.PG.Quantity	X.11..oecf4_20220506_LTED_DIA_r3_20220508005236.raw.PG.Quantity	X.12..oecf4_20220506_LTED_DIA_r4.raw.PG.Quantity	X.13..oecf4_20220506_WT_DIA_r1.raw.PG.Quantity	X.14..oecf4_20220506_WT_DIA_r2.raw.PG.Quantity	X.15..oecf4_20220506_WT_DIA_r3.raw.PG.Quantity	C: Student's T-test Significant KO_3G4_LTED	C: Student's T-test significant	N: -Log Student's T-test p-value KO_3G4_LTED	N: Student's T-test q-value KO_3G4_LTED	N: Student's T-test Difference KO_3G4_LTED	N: Student's T-test Test statistic KO_3G4_LTED	T: PG.ProteinGroups	T: PG.Genes	T: PG.ProteinDescriptions
16.0249	16.0989	15.9798	15.5135	16.6623	16.5989	15.9145	16.7451	17.058	16.8544	16.7845	16.7447	16.4403	16.6161	16.5787			0.956444	0.0670459	-0.380219	-1.87084	A0A087WTW0;A0A087WVR3;Q96T88	UHRF1	E3 ubiquitin-protein ligase UHRF1
12.7613	12.6028	12.3595	NaN	12.9099	NaN	12.1303	12.4437	NaN	NaN	11.2025	NaN	NaN	NaN	NaN			NaN	1	0	NaN	A0A087WTW9;A0A0A0MRA9;B7Z2N1;B7Z7N5;P49758	RGS6	Regulator of G-protein-signaling 6;Regulator of G-protein-signaling 6;Regulator of G-protein-signaling 6;Regulator of G-protein-signaling 6;Regulator of G-protein signaling 6
14.7983	14.799	14.833	14.7467	14.5376	14.4152	14.5581	14.6952	14.2396	14.1819	14.3334	14.306	15.1937	15.2323	15.5659	+	KO_3G4_LTED	2.28924	0.00432952	0.28626	4.29201	A0A087WTZ8	NSMCE2	E3 SUMO-protein ligase NSE2
14.7918	14.777	14.6211	14.8947	14.8727	14.8946	14.8077	14.7428	15.186	15.0132	14.9179	14.9439	15.7147	15.7754	15.6635	+	KO_3G4_LTED	1.43557	0.0225884	-0.185807	-2.67705	A0A087WU02;Q96RQ1	ERGIC2	Endoplasmic reticulum-Golgi intermediate compartment protein 2
15.9928	16.4854	16.275	16.3283	16.4071	16.5211	16.4051	16.2531	16.066	16.4642	15.7212	15.8283	17.0174	15.58	16.6193	+	KO_3G4_LTED	1.13591	0.0435399	0.376677	2.16934	A0A087WU03	HNRNPDL	Heterogeneous nuclear ribonucleoprotein D-like
15.5919	15.6175	15.468	14.9852	15.2102	15.2013	15.0871	15.3621	15.0568	15.0899	15.1683	15.1392	14.4047	14.636	14.4359			0.822486	0.092602	0.101629	1.64779	A0A087WU07;Q5TGZ0;R4GNA1	MICOS10;MICOS10;MICOS10-NBL1	MICOS complex subunit MIC10;MICOS complex subunit MIC10;MICOS complex subunit MIC10 (Fragment)
17.0268	16.9343	16.9248	16.9991	16.9303	16.9284	16.9933	16.949	16.9139	16.7431	16.7678	16.7512	16.3313	16.3869	16.5198	+	KO_3G4_LTED	1.96095	0.00780488	0.156251	3.63187	A0A087WU53;Q9H0U3	MAGT1	Magnesium transporter protein 1
11.7432	11.9976	11.4256	11.9218	12.0841	12.6689	12.2095	12.5764	11.4815	10.5032	11.0733	11.1496	11.8247	11.868	12.6406	+	KO_3G4_LTED	2.77395	0.00176398	1.33279	5.38799	A0A087WU78;A0A087WWC4;Q6T4R5	NHS	Nance-Horan syndrome protein
18.0388	18.015	18.0312	17.965	17.9729	18.0603	17.9496	18.0386	18.1123	18.0801	18.0677	18.144	18.5005	18.5505	18.5478	+	KO_3G4_LTED	1.64629	0.0150877	-0.0956273	-3.04767	A0A087WUB9;Q8WYA6	CTNNBL1	Beta-catenin-like protein 1
18.7706	18.6265	18.6718	18.332	18.9821	19.0464	18.912	18.9322	18.6139	18.5207	18.6586	18.5118	18.9573	19.0912	18.8989	+	KO_3G4_LTED	3.80624	0.000285714	0.391936	8.38871	A0A087WUC6;Q15005	SPCS2	Signal peptidase complex subunit 2
13.7708	13.4515	13.5805	13.5879	13.5317	13.3591	13.3024	13.3751	12.868	13.2722	13.1889	13.2883	13.16	13.1068	13.0898	+	KO_3G4_LTED	1.13681	0.0434617	0.237728	2.17083	A0A087WUE4;A0A0G2JNN3;C9JMY0;Q96PV6	LENG8	Leukocyte receptor cluster member 8;Leukocyte receptor cluster member 8 (Fragment);Leukocyte receptor cluster member 8;Leukocyte receptor cluster member 8
13.6795	13.3931	13.5755	13.6544	13.3099	13.5843	13.3776	13.5782	13.5725	12.9953	12.6174	12.91	12.6057	12.681	12.8659			1.07664	0.0501634	0.43872	2.07056	A0A087WUE6;Q3T8J9;Q9H869	GON4L;GON4L;YY1AP1	GON-4-like protein;GON-4-like protein;YY1-associated protein 1
18.0375	18.341	18.0428	17.8652	18.1528	18.2495	17.9143	18.2231	18.1599	18.1464	17.7759	17.8502	18.551	17.6235	18.2592			0.566764	0.179445	0.151823	1.21173	A0A087WUK2;O14979	HNRNPDL	Heterogeneous nuclear ribonucleoprotein D-like
13.633	13.7148	13.3828	13.1247	13.5034	13.4215	13.3759	13.5015	13.5827	13.8728	13.5409	13.8266	14.3518	14.3179	14.4953	+	KO_3G4_LTED	1.53162	0.0186682	-0.255201	-2.84426	A0A087WUL4;A0A087WX23;A0A087WXK2;Q86TG7	PEG10	Retrotransposon-derived protein PEG10
18.0852	17.9369	18.1035	17.9341	17.8392	17.7803	17.8278	17.8564	18.0203	18.0719	18.0689	18.1051	18.243	18.3008	18.2408	+	KO_3G4_LTED	4.25519	8.98876E-05	-0.240652	-10.073	A0A087WUT6;O60841	EIF5B	Eukaryotic translation initiation factor 5B
13.3318	13.3491	13.0212	13.013	12.9174	13.0825	12.7843	12.9296	13.1766	12.4652	12.7093	12.8777	13.1086	13.7845	13.4427			0.31809	0.363116	0.121301	0.751571	A0A087WUV9;Q9NV66	TYW1	S-adenosyl-L-methionine-dependent tRNA 4-demethylwyosine synthase TYW1
13.6154	13.5088	13.4668	13.2365	13.5467	13.5966	13.816	13.3721	13.555	12.7622	13.1476	13.163	13.5215	13.8954	13.5612	+	KO_3G4_LTED	1.20865	0.0371306	0.425881	2.29109	A0A087WUW9;Q9NXU5	ARL15	ADP-ribosylation factor-like protein 15
16.0549	15.6431	16.1673	15.533	15.8924	15.7569	15.6219	15.6959	15.4733	15.8957	15.7855	15.8814	16.3019	16.35	16.2818			0.0531441	0.837442	-0.0171983	-0.151136	A0A087WV05;Q99417	;MYCBP	Uncharacterized protein;c-Myc-binding protein
13.2751	13.3701	13.8078	12.5884	13.0049	12.1662	12.5883	12.0717	13.3524	13.1884	13.3638	13.0934	14.036	14.2849	13.8555	+	KO_3G4_LTED	1.90988	0.00880291	-0.791699	-3.53413	A0A087WV25;O95684	FGFR1OP	FGFR1 oncogene partner
16.2872	16.4036	16.3089	16.2069	16.0873	15.9511	15.9718	16.1339	15.6974	15.7333	16.252	16.0736	15.7211	15.9563	15.7444			0.284982	0.401025	0.0969598	0.685161	A0A087WVA1;P62341	SELENOT	Selenoprotein T;Thioredoxin reductase-like selenoprotein T
15.5191	15.4665	15.5653	15.2129	15.3066	15.4787	15.2606	15.4524	15.6199	15.4886	15.3989	15.4507	16.0188	16.1498	16.0337			0.799515	0.0982861	-0.114958	-1.60934	A0A087WVA8;Q8IWB9	TEX2	Testis-expressed protein 2
14.053	13.7074	13.9263	13.6978	13.6036	13.3785	13.3594	13.4668	13.0314	13.036	13.0549	13.0503	13.8021	13.6777	13.7284	+	KO_3G4_LTED	3.47523	0.000627838	0.408932	7.30861	A0A087WVD1	LENG9	Leukocyte receptor cluster member 9
11.6969	11.4003	11.3748	11.2782	12.4251	12.3081	11.7182	12.4159	13.0044	12.5433	12.251	12.3952	10.6463	10.3426	9.52899			0.684006	0.132311	-0.331658	-1.41428	A0A087WVE9;Q9HBZ2	ARNT2	Aryl hydrocarbon receptor nuclear translocator 2
14.6609	14.6174	14.6449	14.5857	14.5624	14.6746	14.7363	14.5615	14.8293	14.78	14.6197	14.6479	14.9222	14.7485	14.7027			0.607728	0.160768	-0.0855005	-1.28319	A0A087WVF7;Q9NZM3	ITSN2	Intersectin-2
11.9385	11.8404	11.8061	11.9204	11.9922	12.0404	11.5025	12.1206	12.1669	12.5124	12.2931	12.5867	11.7004	11.3411	11.3992	+	KO_3G4_LTED	1.50551	0.0196575	-0.475866	-2.79854	A0A087WVG4;A0A140TA01;A2AB22;A2AB23;E9PQT8;E9PQZ5;O43189	PHF1	PHD finger protein 1;PHD finger protein 1;PHD finger protein 1 (Fragment);PHD finger protein 1 (Fragment);PHD finger protein 1;PHD finger protein 1;PHD finger protein 1
13.5463	13.499	13.2618	13.4103	13.8959	13.8602	14.3292	13.7386	13.8447	13.2549	12.0861	13.1533	13.9663	13.5922	13.6127	+	KO_3G4_LTED	1.18091	0.0395751	0.871223	2.24457	A0A087WVI1;Q96JY6	PDLIM2	PDZ and LIM domain protein 2
14.3349	14.2777	14.1747	14.433	14.2272	15.1438	14.5732	14.4399	14.6751	13.7948	13.4351	13.7897	NaN	NaN	12.035			1.06052	0.052233	0.672368	2.04374	A0A087WVI4;A0A0G2JMM6;A0A0G2JMP8	TMC4	Transmembrane channel-like protein
NaN	18.1478	18.1759	18.1933	18.1142	17.8046	17.834	17.8578	17.8849	17.5858	17.6743	17.5917	17.6591	17.2433	17.3925	+	KO_3G4_LTED	1.14646	0.0424894	0.218465	2.18695	A0A087WVM4;B7ZM99	MTHFD1L	Monofunctional C1-tetrahydrofolate synthase
21.6374	21.6752	21.6148	21.5427	21.5753	21.5743	21.665	21.5851	21.7335	21.5917	21.5907	21.582	21.941	22.0509	21.9334			0.233727	0.469351	-0.0245676	-0.578754	A0A087WVQ6;Q00610	CLTC	Clathrin heavy chain;Clathrin heavy chain 1
12.853	13.0197	13.2761	11.9577	12.9189	13.0995	12.5104	13.2662	13.3165	13.3174	13.5413	13.3821	13.262	13.2787	13.5371	+	KO_3G4_LTED	1.3787	0.025541	-0.440586	-2.57924	A0A087WVT1;Q96MX3	ZNF48	Zinc finger protein 48
13.1325	12.8596	13.0895	12.0704	11.5651	12.0269	12.0558	12.6117	9.44596	10.1013	11.4136	11.6569	13.3803	14.3858	13.835	+	KO_3G4_LTED	1.31738	0.0291824	1.41042	2.47466	A0A087WVW6;Q9UHV5	RAPGEFL1	Rap guanine nucleotide exchange factor-like 1
14.4024	14.2625	14.3894	13.5758	14.3253	14.4229	14.5283	14.421	13.8484	14.0129	13.5176	13.6632	13.8895	13.7368	13.654	+	KO_3G4_LTED	2.91546	0.00158926	0.663838	5.74041	A0A087WVZ6	ZMYND8	Protein kinase C-binding protein 1
NaN	NaN	NaN	NaN	16.6758	17.1079	16.6459	16.4873	16.4894	17.0087	16.3385	16.5883	16.9417	17.2036	16.8681			0.25738	0.43553	0.122954	0.628448	A0A087WVZ9;P19388	POLR2E	DNA-directed RNA polymerases I
15.6247	15.5929	15.5911	15.8072	16.2207	16.1283	16.3734	16.0238	15.9452	15.863	15.8668	15.8966	16.1567	16.1516	16.2719	+	KO_3G4_LTED	2.06626	0.00644586	0.293665	3.83738	A0A087WW00;C9J9H9;P51668;Q9Y2X8	UBE2D1;UBE2D4;UBE2D1;UBE2D4	Ubiquitin-conjugating enzyme E2 D1;Ubiquitin-conjugating enzyme E2 D4;Ubiquitin-conjugating enzyme E2 D1;Ubiquitin-conjugating enzyme E2 D4
15.2804	15.1312	15.2748	15.1429	15.1986	15.3485	15.3222	15.2399	15.0623	14.5887	14.7622	14.9487	14.3581	14.7027	14.5434	+	KO_3G4_LTED	2.1339	0.00545439	0.436828	3.97239	A0A087WW40;Q9Y371	SH3GLB1	Endophilin-B1
16.0475	16.6063	16.0787	17.0591	15.5035	16.3895	15.184	16.4922	16.296	15.2551	16.4546	16.1045	15.1278	14.881	16.0657			0.120087	0.669742	-0.135219	-0.321931	A0A087WW43;E7ET33;Q06033	ITIH3	Inter-alpha-trypsin inhibitor heavy chain H3
17.2382	17.4183	17.4266	17.5738	16.8916	17.2036	17.0171	16.6788	17.1682	16.9959	12.4235	16.6452	16.9602	16.8453	16.8246			0.449017	0.249374	1.13957	1.00067	A0A087WW58;Q9C0D9	SELENOI	Ethanolaminephosphotransferase 1
14.5948	14.652	14.7645	14.6165	14.5252	14.4059	14.6541	NaN	14.5767	14.5259	14.6832	14.7873	14.6677	14.7557	14.6277			0.578958	0.173489	-0.114856	-1.25885	A0A087WW66	PSMD1	26S proteasome non-ATPase regulatory subunit 1
12.9403	13.067	13.0591	13.2212	12.8764	12.3382	12.754	12.6151	13.3481	13.4952	12.9009	12.929	12.4526	11.9931	12.6444	+	KO_3G4_LTED	1.48626	0.0204554	-0.522365	-2.76495	A0A087WWA0;C9J7M2;C9JB67;C9JYP7;F8WDH6;Q13568	IRF5	Interferon regulatory factor 5;Interferon regulatory factor 5 (Fragment);Interferon regulatory factor 5 (Fragment);Interferon regulatory factor 5 (Fragment);Interferon regulatory factor 5;Interferon regulatory factor 5
