KO_1G4_r1	KO_1G4_r2	KO_1G4_r3	KO_1G4_r4	KO_3G4_r1	KO_3G4_r2	KO_3G4_r3	KO_3G4_r4	LTED_r1	LTED_r2	LTED_r3	LTED_r4	WT_r1	WT_r2	WT_r3	C: Student's T-test Significant LTED_WT	C: Student's T-test significant	N: number	N: -Log Student's T-test p-value LTED_WT	N: Student's T-test q-value LTED_WT	N: Student's T-test Difference LTED_WT	N: Student's T-test Test statistic LTED_WT	T: ProteinGroup	T: Gene	T: Description
15,6565	15,2763	15,3925	15,2381	16,809	16,6176	16,6881	16,4671	14,8195	14,1074	14,6461	14,3896	17,188	17,2454	17,0783	+	LTED_WT	15	4,51102	0	-2,67992	-14,234	A0A1P0AYU5;Q9BWM7	SFXN3	Sidoreflexin;Sideroflexin-3
9,14929	10,9709	10,4166	9,94287	9,75089	10,6401	NaN	10,3706	11,6898	10,8566	10,3859	10,4031	9,11987	9,00931	8,29748	+	LTED_WT	14	2,31587	0,00327743	2,02496	4,81208	A0A1X7SBT7;O95502	NPTXR	Neuronal pentraxin receptor
7,4806	7,37836	NaN	NaN	NaN	8,70034	NaN	7,31572	7,38099	NaN	8,17846	8,20659	10,1658	10,3524	10,0262	+	LTED_WT	10	2,85361	0,00134495	-2,25946	-7,88195	A0A2R8Y5H9;Q8IVT5	KSR1	Kinase suppressor of Ras 1
21,5562	21,6273	21,72	21,791	21,8035	21,8593	21,9339	21,8113	21,9189	21,7837	21,8268	21,8792	19,7806	19,2456	19,5636	+	LTED_WT	15	4,92133	0	2,32224	17,2514	A0A2U3TZH3;Q05639	EEF1A2	Elongation factor 1-alpha;Elongation factor 1-alpha 2
10,335	10,0565	9,40259	NaN	9,09607	NaN	NaN	NaN	10,3413	9,86107	9,71181	NaN	13,6472	13,2918	13,2876	+	LTED_WT	10	3,97642	0,000309038	-3,43751	-15,3317	A0A494C0D6;Q13642;Q5JXI8	FHL1	Four and a half LIM domains protein 1;Four and a half LIM domains protein 1;Four and a half LIM domains protein 1 (Fragment)
12,2225	12,0211	12,0566	11,5633	13,3279	13,5403	13,7746	13,3751	13,4647	12,7049	12,7914	12,8591	8,57378	8,18761	7,367	+	LTED_WT	15	4,41452	0,00012381	4,91222	13,6019	A0A494C0L6;C9JGI3;P19971	TYMP	Thymidine phosphorylase (Fragment);Thymidine phosphorylase (Fragment);Thymidine phosphorylase
14,4245	14,5489	14,4846	14,4679	14,5973	14,6206	14,6149	14,5653	14,2373	14,4659	14,189	14,2557	12,0225	12,3125	12,2861	+	LTED_WT	15	5,19522	0	2,07994	19,6019	A0A590UJB6;Q13303	KCNAB2	Voltage-gated potassium channel subunit beta-2
15,1534	14,3765	14,83	14,0157	13,5339	13,4278	13,2028	13,524	12,5692	12,3871	12,5658	12,3264	14,6131	14,7881	14,6815	+	LTED_WT	15	5,82712	0	-2,23212	-26,2871	A1L170	C1orf226	Uncharacterized protein C1orf226
12,5481	12,8551	12,6231	12,7553	12,7908	12,5678	12,7212	12,7418	14,5227	14,9298	14,71	14,8901	12,2706	11,6063	11,5947	+	LTED_WT	15	4,40477	0,000122066	2,93928	13,5395	A4D161;B8ZZQ8	FAM221A	Protein FAM221A
13,0185	13,0645	13,0908	12,6301	12,5524	12,8347	12,3521	12,7564	13,8966	13,7725	13,5659	13,59	11,3878	10,4075	11,577	+	LTED_WT	15	3,3433	0,000507937	2,58218	8,14279	A6NN50;O75147	OBSL1	Obscurin-like protein 1
14,5825	14,929	14,6738	14,6155	14,8849	15,0948	15,0059	14,7252	12,0382	11,9026	12,2608	12,173	15,5806	16,2063	15,6376	+	LTED_WT	15	5,17666	0	-3,71455	-19,4332	B1AK53	ESPN	Espin
12,8705	12,9197	13,2486	12,5702	12,9875	13,1587	12,7859	13,0176	14,2544	14,6175	14,6328	14,5694	12,2917	11,4541	12,016	+	LTED_WT	15	4,00771	0,000316891	2,59793	11,2188	C9J0J0;Q96EE4	CCDC126	Coiled-coil domain-containing protein 126 (Fragment);Coiled-coil domain-containing protein 126
14,2181	14,5844	14,5899	14,5318	13,6674	13,549	13,3783	13,3181	14,7437	14,4115	14,2323	14,283	12,5736	12,3458	11,9852	+	LTED_WT	15	3,9097	0,000290809	2,11613	10,7065	C9JKD9;E9PGV9;P45844	ABCG1	ATP-binding cassette sub-family G member 1 (Fragment);ATP-binding cassette sub-family G member 1;ATP-binding cassette sub-family G member 1
11,5395	11,6962	11,22	NaN	10,9864	11,1152	NaN	10,6781	10,3252	9,75687	9,61724	9,04784	12,3853	13,2011	12,4532	+	LTED_WT	13	3,27745	0,00059166	-2,99308	-7,88374	C9JVW0	INAFM1	Putative transmembrane protein INAFM1
11,9175	12,2875	11,8358	NaN	11,2257	11,8792	11,4948	12,1256	11,628	12,033	11,9377	11,8507	14,0112	13,8076	13,7802	+	LTED_WT	14	4,86676	0	-2,00394	-16,8171	D6R921;D6R9U7;D6RIT0;D6RJH6;O15318	POLR3G	DNA-directed RNA polymerase III subunit RPC7 (Fragment);DNA-directed RNA polymerase III subunit RPC7 (Fragment);DNA-directed RNA polymerase III subunit RPC7 (Fragment);DNA-directed RNA polymerase III subunit RPC7;DNA-directed RNA polymerase III subunit RPC7
12,999	13,1935	13,414	14,4627	14,1371	14,0294	15,0343	14,2015	13,7605	12,957	13,2341	13,3295	9,66622	11,0339	10,9781	+	LTED_WT	15	2,90013	0,00106347	2,76089	6,53164	D6RH31;H0YAK9;Q6UXI9	NPNT	Nephronectin (Fragment);Nephronectin (Fragment);Nephronectin
13,9898	13,2249	13,457	13,9924	14,0908	13,333	13,7242	12,9261	13,8455	13,7575	12,2115	13,1617	16,8464	16,9861	16,7388	+	LTED_WT	15	3,31847	0,000543531	-3,61304	-8,04425	E7EMF1	ITGA2	Integrin alpha-2
18,015	17,6422	17,6069	18,3599	18,8663	18,4262	19,0718	18,8507	18,4925	18,3782	18,5527	18,4954	15,591	15,816	15,7738	+	LTED_WT	15	6,63202	0	2,75275	38,144	E9PDF6;O43795	MYO1B	Unconventional myosin-Ib
16,1653	16,6251	16,4182	16,8208	16,2487	16,4173	16,3958	16,4166	17,0699	16,6293	16,3267	16,5133	13,9534	13,8596	14,2484	+	LTED_WT	15	4,21778	0,000234848	2,61437	12,3952	E9PHY5	EPB41L2	Band 4.1-like protein 2
13,3149	13,1151	13,3516	12,4062	13,0235	12,4858	13,4016	12,7226	13,1557	12,8702	12,7396	12,6619	15,1227	14,9031	15,1571	+	LTED_WT	15	4,65676	0	-2,20411	-15,2422	E9PNR2;Q13671	RIN1	Ras and Rab interactor 1
14,6865	14,4299	14,5772	14,0144	14,6609	14,3943	14,1585	14,5557	13,7741	14,0443	14,1583	14,2073	11,102	11,2777	11,1378	+	LTED_WT	15	5,57143	0	2,87346	23,3479	E9PQL0;Q86UB9	TMEM135	Transmembrane protein 135
8,95306	NaN	8,60171	NaN	8,96281	10,1671	NaN	9,03359	10,8646	10,913	10,2379	10,5829	12,6701	13,3595	13,3114	+	LTED_WT	12	3,64424	0,000316239	-2,46407	-9,4256	F5GWI4;P00813	ADA	Adenosine deaminase
12,3496	11,2465	11,9004	11,9581	12,8929	13,1272	12,8946	12,6958	11,459	11,8113	12,5759	12,2089	8,21435	10,133	10,4447	+	LTED_WT	15	1,86208	0,00771194	2,41644	3,71819	F5GZG6;F8VRJ6;F8WCM7;Q9H3S4	TPK1	Thiamin pyrophosphokinase 1;Thiamin pyrophosphokinase 1 (Fragment);Thiamin pyrophosphokinase 1;Thiamin pyrophosphokinase 1
21,138	21,6372	21,5823	21,3609	19,7914	19,7885	19,5817	20,0118	20,8573	20,9343	20,8071	20,861	22,9706	23,0149	22,8861	+	LTED_WT	15	7,09633	0	-2,09226	-47,2619	F5GZS6;P08195	SLC3A2	4F2 cell-surface antigen heavy chain
14,1014	14,8377	15,0208	15,0324	12,324	11,2624	12,523	12,0409	13,6014	13,324	13,2672	13,7401	15,4796	15,5925	15,8459	+	LTED_WT	15	4,38085	0,000117914	-2,15614	-13,3877	F5H0E2	SLC3A2	4F2 cell-surface antigen heavy chain (Fragment)
15,7112	15,5442	15,6193	15,3302	15,2714	15,3041	15,285	15,2181	14,1698	14,1178	14,018	13,8846	17,2967	17,2077	17,1857	+	LTED_WT	15	6,73547	0	-3,18246	-40,0105	F8VU90;Q9NYL4	FKBP11	Peptidylprolyl isomerase;Peptidyl-prolyl cis-trans isomerase FKBP11
14,2965	14,3341	14,4343	14,3165	14,2512	14,0949	13,6918	14,0439	12,7782	13,1905	13,5431	13,384	15,7038	15,6336	15,7239	+	LTED_WT	15	4,23908	0,00024031	-2,46314	-12,5207	F8WCA0;J3QRU4;L7N2F9;P63027	VAMP2;VAMP2;;VAMP2	Vesicle-associated membrane protein 2;Vesicle-associated membrane protein 2;V-SNARE coiled-coil homology domain-containing protein (Fragment);Vesicle-associated membrane protein 2
12,4287	13,3814	13,0454	12,4568	12,4323	12,1184	13,0716	11,3426	12,8781	12,2108	11,8329	12,0026	14,191	15,2441	13,7706	+	LTED_WT	15	2,29621	0,00341938	-2,17077	-4,7608	H0Y9Y3;Q9UMS6	SYNPO2	Synaptopodin-2 (Fragment);Synaptopodin-2
13,8477	13,9242	13,7995	13,9591	13,6587	13,9714	13,6039	13,4155	15,4532	15,1266	15,0587	15,0412	11,673	11,7413	11,9249	+	LTED_WT	15	5,8091	0	3,39021	26,0685	H0YLN8;Q96QT4	TRPM7	Transient receptor potential cation channel subfamily M member 7
13,6938	13,2086	13,2833	9,26567	13,2083	12,9424	12,6087	13,2615	11,2087	12,5441	12,5607	12,3442	10,0813	9,80001	10,5582	+	LTED_WT	15	2,29579	0,00341797	2,01794	4,75971	I3L2M9;I3L3H0;Q9UKL6	PCTP	Phosphatidylcholine transfer protein
11,3326	11,8285	11,0831	NaN	13,9785	12,3455	13,1861	12,9233	12,0587	11,9769	11,6963	12,7656	14,6398	14,645	14,8433	+	LTED_WT	14	3,63988	0,000315229	-2,58501	-9,4058	J3KPQ0;P22455	FGFR4	Fibroblast growth factor receptor;Fibroblast growth factor receptor 4
12,2434	12,1651	12,1167	11,9424	12,6173	12,5194	12,5048	12,5608	12,2471	12,255	12,0215	12,0065	9,18829	9,36653	9,63749	+	LTED_WT	15	5,24956	0	2,7351	20,1041	J3KPY9;P58335	ANTXR2	Anthrax toxin receptor;Anthrax toxin receptor 2
13,5624	13,7537	13,4726	13,9069	13,91	14,1202	14,17	14,182	13,9687	13,8735	13,6832	13,5017	16,7465	16,7339	16,6931	+	LTED_WT	15	5,63487	0	-2,96774	-24,0454	O00212	RHOD	Rho-related GTP-binding protein RhoD
19,6304	19,871	19,8541	19,2239	20,0537	20,3217	20,5278	20,6361	19,5908	19,9007	19,9882	20,2956	17,6084	18,1075	17,6122	+	LTED_WT	15	3,73102	0,000300469	2,16779	9,82797	O00767	SCD	Acyl-CoA desaturase
19,8294	19,7066	19,6838	19,6797	19,7375	19,8432	19,4784	19,7969	20,8312	20,5622	20,5321	20,377	15,2055	14,9178	16,8382	+	LTED_WT	15	3,68261	0,000329621	4,9218	9,60163	O14775	GNB5	Guanine nucleotide-binding protein subunit beta-5
16,9898	17,0724	17,0423	16,4988	17,1903	17,1642	17,1229	17,279	18,1445	17,8347	17,9409	17,9459	14,4447	14,4603	13,8833	+	LTED_WT	15	5,34503	0	3,70375	21,017	O14975	SLC27A2	Very long-chain acyl-CoA synthetase
15,312	16,3434	16,0819	16,5683	13,5197	13,9321	13,5093	13,7875	16,9809	17,0279	16,4386	16,7734	13,7588	13,5022	14,1718	+	LTED_WT	15	4,34344	0,000113537	2,99426	13,1536	O15075	DCLK1	Serine/threonine-protein kinase DCLK1
19,1618	19,0551	19,1663	19,143	18,9835	19,3022	19,143	18,9729	19,9379	20,0736	20,1489	20,1095	17,902	17,9957	18,1584	+	LTED_WT	15	5,6944	0	2,04881	24,7185	O15347	HMGB3	High mobility group protein B3
13,9937	14,4119	14,2014	14,7242	14,4215	14,6194	14,3654	14,5807	15,5394	15,5377	15,1388	15,1471	13,2184	13,37	13,2804	+	LTED_WT	15	4,57148	0	2,05114	14,6442	O15440	ABCC5	Multidrug resistance-associated protein 5
12,6122	12,8228	12,8817	12,3931	13,7449	13,9135	13,5237	13,9643	14,6097	14,269	14,4107	14,2459	11,114	10,6215	10,6297	+	LTED_WT	15	5,37935	0	3,59548	21,355	O43294	TGFB1I1	Transforming growth factor beta-1-induced transcript 1 protein
14,0533	14,8308	14,4567	13,9946	12,3997	11,794	11,3234	11,6194	15,2725	15,2667	14,5208	15,0173	17,164	17,7048	17,3031	+	LTED_WT	15	3,66545	0,000322089	-2,37137	-9,52254	O43570	CA12	Carbonic anhydrase 12
13,2804	13,0432	14,0686	12,0209	13,555	13,1334	13,3863	13,6963	9,43757	10,2573	11,3772	11,7458	6,97545	7,08781	7,47368	+	LTED_WT	15	2,57803	0,00209922	3,5255	5,53416	O60356	NUPR1	Nuclear protein 1
12,9283	12,7541	12,8118	10,7123	14,5974	14,2554	14,5388	14,6651	13,7103	14,4285	14,4943	14,5188	9,74111	10,4601	9,93534	+	LTED_WT	15	4,56179	0	4,24245	14,5777	O60488	ACSL4	Long-chain-fatty-acid--CoA ligase 4
15,0278	15,0206	14,9544	14,8967	16,0447	15,8927	15,8047	15,8464	16,0742	15,8012	15,6987	15,7708	13,7327	13,4929	13,7273	+	LTED_WT	15	5,08079	0	2,18528	18,5841	O60504	SORBS3	Vinexin
20,0341	19,6213	19,8865	19,4483	20,2599	20,4422	20,5881	20,3964	19,5567	19,8756	20,2092	20,228	17,9714	17,8438	17,9359	+	LTED_WT	15	3,91686	0,000292414	2,05033	10,7432	O60701	UGDH	UDP-glucose 6-dehydrogenase
13,8378	13,483	13,8174	14,0044	15,194	15,1657	15,22	14,7854	15,3688	14,7473	15,3353	15,5742	12,8616	12,4021	13,1631	+	LTED_WT	15	3,48738	0,000452206	2,44747	8,73601	O75093	SLIT1	Slit homolog 1 protein
18,08	16,9104	17,202	16,5991	19,2827	19,5548	19,5016	19,0274	16,8805	15,7192	16,3532	16,3046	13,1932	13,343	13,0921	+	LTED_WT	15	3,92828	0,000294444	3,10496	10,802	O75363	BCAS1	Breast carcinoma-amplified sequence 1
14,6977	14,5363	14,8096	13,5734	15,2578	15,3235	15,2494	15,4197	15,0152	14,1531	14,4336	14,9084	16,938	17,1818	16,7319	+	LTED_WT	15	3,50926	0,000461106	-2,323	-8,82938	O75607	NPM3	Nucleoplasmin-3
10,3863	11,5291	10,9387	9,3902	NaN	11,2514	11,917	10,3229	11,6552	10,4374	11,6023	10,1475	13,8015	13,5934	13,6722	+	LTED_WT	14	2,6916	0,00166264	-2,72839	-5,87103	O75764;S4R3M9	TCEA3	Transcription elongation factor A protein 3;Transcription elongation factor A protein 3 (Fragment)
14,0514	14,3568	13,7905	14,7845	13,1213	13,4399	13,0419	12,8955	15,8771	15,7018	15,0891	15,7256	12,2266	12,0048	11,4897	+	LTED_WT	15	4,38385	0,000118451	3,69139	13,4067	O76070	SNCG	Gamma-synuclein
14,5923	14,1342	14,2289	14,6248	15,1461	15,2827	15,4281	15,1455	15,1655	15,0073	14,8816	14,5179	12,7602	12,534	11,8202	+	LTED_WT	15	3,49391	0,000456825	2,52163	8,7638	O94907	DKK1	Dickkopf-related protein 1
18,155	18,017	17,8485	18,431	19,6694	19,7698	20,0578	20,0765	19,2936	19,2276	19,6881	19,3957	16,3107	16,2902	16,4239	+	LTED_WT	15	5,66897	0	3,05966	24,4288	O95436	SLC34A2	Sodium-dependent phosphate transport protein 2B
17,1261	17,3685	17,4771	17,0723	17,0638	17,1878	17,2556	17,2333	18,8351	19,0631	19,1211	19,1244	16,2155	16,5677	16,3059	+	LTED_WT	15	5,47306	0	2,67289	22,3055	O95573	ACSL3	Long-chain-fatty-acid--CoA ligase 3
14,8319	12,6638	13,2902	12,547	13,0471	12,6064	12,4988	12,4894	11,6225	11,7223	11,8676	11,8222	15,333	15,1617	14,4418	+	LTED_WT	15	4,40875	0,000122931	-3,2202	-13,565	O95786	DDX58	Antiviral innate immune response receptor RIG-I
16,2926	16,2297	16,3255	16,3802	16,263	16,3837	16,4758	16,4295	17,2904	15,821	15,6602	15,753	18,29	18,7757	18,6338	+	LTED_WT	15	2,43565	0,00263063	-2,43538	-5,13285	O95817	BAG3	BAG family molecular chaperone regulator 3
16,0789	15,3253	15,6865	15,7987	16,8836	17,1429	17,5021	17,0708	13,0404	13,2965	13,9214	13,1524	17,2478	17,7574	17,9254	+	LTED_WT	15	4,60475	0	-4,29089	-14,8747	O95833	CLIC3	Chloride intracellular channel protein 3
16,5048	16,5317	16,5402	16,6583	16,3334	16,5445	16,5508	16,4022	16,3925	16,2731	16,3864	16,4218	14,1838	14,5508	14,1931	+	LTED_WT	15	5,13094	0	2,05922	19,0237	O95834	EML2	Echinoderm microtubule-associated protein-like 2
19,0981	18,1252	18,9897	17,4674	19,2963	19,3088	19,2905	19,3404	19,2449	19,3347	20,3863	19,9439	15,8264	14,4759	14,5267	+	LTED_WT	15	3,72664	0,000300117	4,78439	9,80726	O95994	AGR2	Anterior gradient protein 2 homolog
15,2309	15,1449	15,1273	14,7714	15,1838	15,4574	15,3391	15,2821	15,1599	15,0696	15,1259	14,7151	17,9193	18,6113	18,3943	+	LTED_WT	15	4,71945	0	-3,29066	-15,6968	O96007	MOCS2	Molybdopterin synthase catalytic subunit
14,4416	14,6384	14,4528	13,6658	14,2829	14,6114	14,6395	14,5348	14,3892	13,5901	13,8404	13,8294	15,9009	16,847	16,3915	+	LTED_WT	15	3,33817	0,000554817	-2,46749	-8,12234	O96033	MOCS2	Molybdopterin synthase sulfur carrier subunit
15,3918	16,006	15,8127	15,61	13,4214	13,7051	13,6523	13,1867	14,7078	13,9768	13,8943	14,0888	17,6972	17,967	18,0329	+	LTED_WT	15	4,74669	0	-3,73209	-15,8983	P00918	CA2	Carbonic anhydrase 2
19,3558	19,7727	19,8872	19,5063	18,6621	18,7484	18,6244	18,7662	18,8605	18,5576	19,026	19,1333	20,9523	21,1321	21,1606	+	LTED_WT	15	4,44923	0,000129353	-2,18732	-13,8261	P00966	ASS1	Argininosuccinate synthase
15,8264	16,2915	16,0329	16,093	16,3023	16,4002	16,1096	16,0611	16,0292	16,5102	16,7711	16,8897	18,6564	18,6162	18,8764	+	LTED_WT	15	3,59163	0,000300508	-2,16626	-9,18905	P02649	APOE	Apolipoprotein E
16,7281	17,0019	16,9272	16,876	16,163	15,7711	15,3554	16,161	16,2889	16,5478	16,6352	16,7251	12,964	13,3183	12,9747	+	LTED_WT	15	5,57883	0	3,4636	23,4281	P03372	ESR1	Estrogen receptor
13,2145	10,565	11,7252	12,9862	10,6242	9,83211	12,4372	10,5224	10,3644	9,76005	10,5628	NaN	12,643	12,6933	13,9452	+	LTED_WT	14	2,37097	0,0029806	-2,86475	-5,8511	P04083	ANXA1	Annexin A1
12,8858	12,6853	13,0457	13,1189	12,0272	13,0733	12,7933	12,7546	12,9373	13,0872	12,7278	12,7563	16,857	17,6411	17,3232	+	LTED_WT	15	5,28753	0	-4,39663	-20,4624	P05109	S100A8	Protein S100-A8
14,3876	13,9651	14,2729	13,9816	14,9742	14,8547	14,879	14,7735	13,9126	14,1486	14,0413	14,1008	11,6691	11,5287	11,1645	+	LTED_WT	15	5,08339	0	2,59673	18,6067	P05362	ICAM1	Intercellular adhesion molecule 1
14,2601	13,693	14,7259	10,4743	11,6458	11,3904	11,1392	11,9907	11,1481	NaN	11,5592	10,9505	13,0328	13,865	14,1592	+	LTED_WT	14	2,5284	0,00221801	-2,46639	-6,45695	P06401	PGR	Progesterone receptor
17,062	17,1618	17,2025	17,4446	16,9866	17,2065	17,1997	17,3102	17,0888	16,9333	17,3577	17,2949	14,5586	14,3483	15,0638	+	LTED_WT	15	4,12622	0,000363014	2,51177	11,8689	P07996	THBS1	Thrombospondin-1
12,3982	12,5033	12,5889	12,5765	13,0419	13,1487	12,9665	12,9018	13,1932	13,8827	13,8019	13,7109	11,4825	11,3996	11,1464	+	LTED_WT	15	4,03931	0,000327666	2,30435	11,3888	P0C024	NUDT7	Peroxisomal coenzyme A diphosphatase NUDT7
14,5072	14,3013	14,2932	14,1588	14,8224	14,568	14,3742	14,754	14,4455	14,1253	14,3745	14,296	11,5564	11,4089	11,5005	+	LTED_WT	15	6,23165	0	2,82173	31,7005	P10275	AR	Androgen receptor
10,8316	10,9731	10,8291	11,4456	12,7565	13,2808	13,158	12,8034	12,8026	11,8379	12,2822	11,8205	9,18043	10,1599	8,47823	+	LTED_WT	15	2,70965	0,00162553	2,91295	5,92602	P10646	TFPI	Tissue factor pathway inhibitor
16,307	15,7122	15,9055	16,2897	16,3346	16,1815	16,3081	16,2452	16,8418	16,4831	16,6021	16,5802	13,246	12,3573	13,0083	+	LTED_WT	15	4,71476	0	3,75627	15,6623	P10909	CLU	Clusterin
16,6823	16,5209	16,6053	16,1665	16,4891	16,5399	16,5366	16,353	16,0445	16,2019	16,4377	16,378	19,3229	19,6193	19,2866	+	LTED_WT	15	5,52801	0	-3,1441	-22,882	P17301	ITGA2	Integrin alpha-2
19,6539	19,6708	19,5249	19,8476	20,2887	20,5925	20,8035	20,4281	21,2943	21,0051	21,1293	21,0381	18,421	18,4391	18,515	+	LTED_WT	15	6,32439	0	2,65834	33,0896	P21333	FLNA	Filamin-A
14,6283	14,7783	14,6617	14,7423	14,9817	15,219	15,296	14,8164	14,5862	14,5326	14,6827	14,8204	12,5077	12,6096	12,489	+	LTED_WT	15	5,81685	0	2,12004	26,1623	P22413	ENPP1	Ectonucleotide pyrophosphatase/phosphodiesterase family member 1
12,4316	12,7187	12,1948	12,2951	11,7535	11,8522	10,9597	11,3923	11,7174	12,6248	12,5429	12,2067	9,63634	10,3567	8,56014	+	LTED_WT	15	2,56901	0,00212186	2,75522	5,50808	P24588	AKAP5	A-kinase anchor protein 5
13,99	14,5277	14,0383	15,0462	14,8568	14,7741	14,6089	14,8155	13,846	12,3102	12,3007	12,4607	9,11833	10,6712	10,6006	+	LTED_WT	15	2,08923	0,00522592	2,59938	4,24344	P25106	ACKR3	Atypical chemokine receptor 3
11,0835	12,2058	12,2922	10,8232	12,3413	12,0827	NaN	NaN	12,6237	12,8126	12,9881	12,7675	16,665	16,2914	15,6548	+	LTED_WT	13	4,31655	0,000109937	-3,40573	-12,9877	P26447	S100A4	Protein S100-A4
15,5351	15,0105	15,1069	14,509	15,3158	15,3926	15,6924	15,4482	15,5143	15,083	15,4345	15,4877	17,8435	17,6376	17,5982	+	LTED_WT	15	4,91158	0	-2,31322	-17,173	P27105	STOM	Erythrocyte band 7 integral membrane protein
