KO_1G4_r1	KO_1G4_r2	KO_1G4_r3	KO_1G4_r4	KO_3G4_r1	KO_3G4_r2	KO_3G4_r3	KO_3G4_r4	LTED_r1	LTED_r2	LTED_r3	LTED_r4	WT_r1	WT_r2	WT_r3	C: Student's T-test Significant KO_1G4_LTED	C: Student's T-test significant	N: number	N: -Log Student's T-test p-value KO_1G4_LTED	N: Student's T-test q-value KO_1G4_LTED	N: Student's T-test Difference KO_1G4_LTED	N: Student's T-test Test statistic KO_1G4_LTED	T: ProteinGroup	T: Gene	T: Description
15,9032	15,4321	15,797	15,3636	15,9141	15,9137	16,1054	16,1336	12,7373	12,6611	13,4483	12,9562	12,2497	12,2088	12,5776	+	KO_1G4_LTED	15	4,70512	0	2,67327	12,0611	D6RGG3;Q99715	COL12A1	Collagen alpha-1(XII) chain
15,1962	14,9967	14,7716	15,446	13,4997	13,8531	13,7314	11,9105	13,8659	13,5902	12,1297	12,1152	14,2665	14,5202	13,5243	+	KO_1G4_LTED	15	2,36698	0,00388277	2,17736	4,45727	H0YC40	CD47	Leukocyte surface antigen CD47 (Fragment)
15,0207	14,7542	14,7168	14,6483	14,5713	14,6164	14,6381	14,4218	13,1195	11,557	12,522	10,5452	12,1258	12,3412	13,0591	+	KO_1G4_LTED	15	2,60889	0,0025452	2,84909	4,99646	H3BTN6;Q9H6L2	TMEM231	Transmembrane protein 231
14,2835	13,273	14,1273	14,7076	13,2302	11,8528	13,6187	10,5202	12,6865	11,8294	12,1001	11,1767	14,0178	12,9895	13,3877	+	KO_1G4_LTED	15	2,58788	0,00272503	2,14968	4,94806	J3KTM5;J3QQY7	TANC2	Protein TANC2 (Fragment)
13,2804	13,0432	14,0686	12,0209	13,555	13,1334	13,3863	13,6963	9,43757	10,2573	11,3772	11,7458	6,97545	7,08781	7,47368	+	KO_1G4_LTED	15	1,918	0,00850833	2,39877	3,54959	O60356	NUPR1	Nuclear protein 1
14,308	14,3902	14,2295	13,7463	14,6992	14,2381	14,1213	14,8555	16,8037	16,6176	16,7773	16,6129	14,5996	15,3582	14,9465	+	KO_1G4_LTED	15	5,50725	0	-2,53441	-16,5439	O75843	AP1G2	AP-1 complex subunit gamma-like 2
16,0789	15,3253	15,6865	15,7987	16,8836	17,1429	17,5021	17,0708	13,0404	13,2965	13,9214	13,1524	17,2478	17,7574	17,9254	+	KO_1G4_LTED	15	4,0949	0,000278607	2,36969	9,4401	O95833	CLIC3	Chloride intracellular channel protein 3
16,8599	15,203	15,7819	14,9904	18,342	16,5975	17,8215	16,5782	19,302	19,3894	17,2265	17,3287	21,1846	19,8961	20,9554	+	KO_1G4_LTED	15	1,92727	0,00844503	-2,60284	-3,56727	P08133	ANXA6	Annexin A6
15,1651	14,4561	14,9814	14,8939	14,7062	14,2173	14,6666	14,7725	12,6334	12,6193	13,1542	12,8813	12,2595	12,4301	13,3282	+	KO_1G4_LTED	15	4,34891	0,000160494	2,05206	10,4605	P18827	SDC1	Syndecan-1
15,9171	16,0787	16,0689	15,9604	15,4742	15,4512	15,4925	15,3319	13,6362	13,8075	13,8793	13,6347	14,676	14,6212	14,955	+	KO_1G4_LTED	15	7,10836	0	2,26685	30,7902	P23634	ATP2B4	Plasma membrane calcium-transporting ATPase 4
13,0497	12,5955	12,1415	13,5441	15,2985	15,3822	16,311	14,993	16,1268	15,3951	15,1335	14,9877	13,3228	12,6052	13,0752	+	KO_1G4_LTED	15	3,21948	0,000757848	-2,57804	-6,55525	P32004	L1CAM	Neural cell adhesion molecule L1
NaN	14,4737	14,36	14,3387	15,0596	12,8182	12,9496	13,9179	13,4342	11,8946	11,4876	11,968	11,4852	NaN	10,3162	+	KO_1G4_LTED	NaN	2,13054	0,0060385	2,19472	4,34356	P35900	KRT20	Keratin
16,0663	16,0369	16,0312	16,1678	17,4024	17,3937	17,4287	17,2955	14,3001	13,9916	14,0021	13,9303	16,0519	15,2825	15,5299	+	KO_1G4_LTED	15	6,32676	0	2,0195	22,7591	P40121	CAPG	Macrophage-capping protein
16,2669	14,6966	14,2456	14,045	17,2581	15,2001	16,975	13,6256	18,0683	17,9225	16,8272	17,2741	17,0197	16,8085	16,9345	+	KO_1G4_LTED	15	2,46389	0,00330587	-2,70953	-4,6686	P50995	ANXA11	Annexin A11
14,8702	14,699	14,8497	13,5692	13,24	13,6163	12,1602	12,8776	11,7981	12,1509	12,8877	11,9186	11,4036	11,6574	12,4738	+	KO_1G4_LTED	15	2,95045	0,00114698	2,30822	5,83008	Q04828	AKR1C1	Aldo-keto reductase family 1 member C1
13,9523	14,0194	13,7733	12,674	14,1083	14,0408	13,7256	14,0304	15,5806	15,6421	15,6199	15,6394	14,5094	13,8496	14,3443	+	KO_1G4_LTED	15	3,16439	0,000871245	-2,01576	-6,40139	Q3B726	TWISTNB	DNA-directed RNA polymerase I subunit RPA43
NaN	14,0467	14,2023	14,0715	13,8603	11,9916	11,5271	11,0327	11,0666	11,6823	11,1265	11,9979	11,8154	10,2743	11,3492	+	KO_1G4_LTED	10,0391	3,72996	0,000286713	2,63851	9,82296	Q6PCE3	PGM2L1	Glucose 1
14,446	13,668	13,9927	13,6731	13,6077	13,5492	13,4287	13,3689	12,3498	11,856	12,1882	11,333	13,5395	13,7105	13,9344	+	KO_1G4_LTED	15	3,35414	0,000571429	2,01321	6,94366	Q7L311	ARMCX2	Armadillo repeat-containing X-linked protein 2
13,3858	13,2487	13,2895	12,4824	14,5302	14,859	14,9636	14,5045	15,1236	15,5308	15,1899	15,0824	12,3122	12,2724	12,6321	+	KO_1G4_LTED	15	4,02571	0,000259259	-2,13007	-9,17806	Q8IV38	ANKMY2	Ankyrin repeat and MYND domain-containing protein 2
13,9817	13,8298	13,5407	12,9797	13,2862	12,9715	12,7441	13,0345	NaN	11,5756	11,5428	11,5165	12,3967	12,3501	12,2992	+	KO_1G4_LTED	14	3,25181	0,000655889	2,03801	7,78484	Q8IZV5	RDH10	Retinol dehydrogenase 10
12,4379	11,7009	11,4501	13,3321	12,5293	12,4976	13,4303	12,7737	10,4519	9,65752	10,1174	NaN	10,3086	11,3721	11,1728	+	KO_1G4_LTED	14	1,99411	0,00766326	2,15464	4,01843	Q8N271	PROM2	Prominin-2
13,2312	13,1726	13,1921	12,8106	12,1192	12,4288	12,4274	12,4102	11,2381	10,2078	11,3865	11,5142	9,86251	9,91797	7,51394	+	KO_1G4_LTED	15	3,17043	0,000875	2,01498	6,41813	Q8TB45	DEPTOR	DEP domain-containing mTOR-interacting protein
10,9634	10,6621	11,1824	7,68766	10,1691	10,9761	10,1964	10,7851	13,2094	13,5737	13,4914	13,1469	15,2354	15,5305	14,8924	+	KO_1G4_LTED	15	2,10463	0,00641314	-3,23147	-3,91368	Q8WY54	PPM1E	Protein phosphatase 1E
14,9113	15,791	15,4654	16,1907	13,7137	13,918	13,3063	12,8253	12,8349	12,9265	12,7047	12,7325	11,3131	9,31548	8,24833	+	KO_1G4_LTED	15	4,27197	0,000148571	2,78994	10,1414	Q96DX5	ASB9	Ankyrin repeat and SOCS box protein 9
11,1675	10,7719	11,352	NaN	10,1804	10,7197	9,86686	10,8664	13,2145	13,2291	12,9309	13,0748	10,4526	9,82326	10,7846	+	KO_1G4_LTED	14	4,18326	0,000295515	-2,01523	-12,1942	Q96GN5	CDCA7L	Cell division cycle-associated 7-like protein
13,7043	13,7371	13,6056	13,3118	13,4336	13,0818	13,0807	13,4106	10,9154	10,9049	10,9513	11,1673	11,5624	11,2938	11,195	+	KO_1G4_LTED	15	6,32056	0	2,60499	22,7044	Q96S94	CCNL2	Cyclin-L2
13,411	13,6861	13,1641	11,4425	12,5121	12,7539	13,6068	12,5305	15,1906	15,0992	14,9761	15,0611	12,6139	11,6635	13,0497	+	KO_1G4_LTED	15	2,26702	0,0048153	-2,1558	-4,24544	Q9BPU6	DPYSL5	Dihydropyrimidinase-related protein 5
NaN	10,0825	10,061	11,8007	11,98	12,4873	12,3359	12,2911	15,3821	15,0647	15,0774	15,2491	13,2669	12,5344	14,0333	+	KO_1G4_LTED	14	3,60921	0,000344288	-4,54526	-9,26748	Q9H1K4	SLC25A18	Mitochondrial glutamate carrier 2
14,9983	13,4995	14,0241	13,5244	14,8555	14,3802	14,3476	14,4628	12,0065	12,0019	11,8376	11,9559	13,0599	12,6407	12,0336	+	KO_1G4_LTED	15	2,95642	0,00115426	2,06111	5,84547	Q9NUL5	SHFL	Shiftless antiviral inhibitor of ribosomal frameshifting protein
12,461	12,8989	13,2098	11,0322	12,3143	12,8255	12,1417	12,3278	15,049	14,9245	14,7768	14,9487	10,5653	11,7243	11,3549	+	KO_1G4_LTED	15	2,69989	0,00227035	-2,5243	-5,20981	Q9P2C4	TMEM181	Transmembrane protein 181
8,72266	10,7477	10,7201	NaN	NaN	9,48292	10,4007	11,0657	13,1148	12,6469	11,9091	12,5111	11,6531	11,9977	12,2288	+	KO_1G4_LTED	13	1,9511	0,00817399	-2,48197	-3,91914	Q9UBC3	DNMT3B	DNA (cytosine-5)-methyltransferase 3B
